[2025-12-14 14:02:44,682][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 14:02:57,014][INFO] [UI] Features calculées.
[2025-12-14 14:02:57,014][INFO] [UI] Signal de trading : hold
[2025-12-14 14:02:57,014][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 14:03:09,334][INFO] [UI] Features calculées.
[2025-12-14 14:03:09,334][INFO] [UI] Signal de trading : hold
[2025-12-14 14:03:09,334][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 14:03:21,750][INFO] [UI] Features calculées.
[2025-12-14 14:03:21,750][INFO] [UI] Signal de trading : hold
[2025-12-14 14:03:21,750][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 14:03:34,091][INFO] [UI] Features calculées.
[2025-12-14 14:03:34,091][INFO] [UI] Signal de trading : hold
[2025-12-14 14:03:34,091][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 14:03:46,408][INFO] [UI] Features calculées.
[2025-12-14 14:03:46,408][INFO] [UI] Signal de trading : hold
[2025-12-14 14:03:46,408][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 14:03:58,731][INFO] [UI] Features calculées.
[2025-12-14 14:03:58,746][INFO] [UI] Signal de trading : hold
[2025-12-14 14:03:58,746][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 14:04:11,050][INFO] [UI] Features calculées.
[2025-12-14 14:04:11,050][INFO] [UI] Signal de trading : hold
[2025-12-14 14:04:11,050][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 14:04:23,372][INFO] [UI] Features calculées.
[2025-12-14 14:04:23,372][INFO] [UI] Signal de trading : hold
[2025-12-14 14:04:23,372][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 14:04:35,716][INFO] [UI] Features calculées.
[2025-12-14 14:04:35,716][INFO] [UI] Signal de trading : hold
[2025-12-14 14:04:35,716][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 14:04:48,043][INFO] [UI] Features calculées.
[2025-12-14 14:04:48,043][INFO] [UI] Signal de trading : hold
[2025-12-14 14:04:48,043][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 14:05:00,335][INFO] [UI] Features calculées.
[2025-12-14 14:05:00,351][INFO] [UI] Signal de trading : hold
